signal,satellite â„–,SNR,pseudo_range,doppler_shift
imit_1,24,0.9891304347826084,0.5758746239744141,0.00042547527903880056
imit_2,17,0.9782608695652173,0.668340525045096,0.9991315782825538
imit_3,7,0.9347826086956519,1.0,0.0007388439618962739
imit_4,10,0.9021739130434785,0.20019323024826008,0.9993567826307379
imit_11,8,1.0,0.0,1.507346281126587e-08
imit_16,9,0.9673913043478257,0.4905099455236268,0.0004136826005268768
imit_19,0,0.956521739130435,0.939193888666523,1.0
imit_49,17,0.16304347826086962,0.6683405230887729,0.9991315823252487
imit_51,8,0.32608695652173925,1.3327398846740834e-06,0.0
imit_54,9,0.0,0.4905101176473181,0.00041127116765715677
imit_64,24,0.10869565217391286,0.5758725619443794,0.0004254766057991688
